epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,419.795,0.32574,4.63139,1.98132,0.78887,0.69196,0.79778,0.56696,0.39104,11.2762,2.32443,0.000478762,0.000478762,0.000478762
146,422.627,0.32397,4.58509,1.94679,0.62609,0.88889,0.81666,0.56796,0.38853,14.8576,2.29747,0.000470511,0.000470511,0.000470511
147,425.477,0.33377,4.63278,1.9582,0.62609,0.88889,0.82121,0.56206,0.35964,18.134,2.22159,0.000462259,0.000462259,0.000462259
148,428.334,0.35043,4.71523,1.99454,0.68269,0.87654,0.80533,0.56028,0.39059,17.9186,2.25062,0.000454007,0.000454007,0.000454007
149,431.211,0.33339,4.47592,1.949,0.61818,0.83951,0.77391,0.52921,0.39216,18.9437,2.2821,0.000445756,0.000445756,0.000445756
150,434.084,0.34084,4.6747,1.98798,0.75918,0.62277,0.77735,0.54015,0.38574,17.0827,2.25952,0.000437504,0.000437504,0.000437504
151,436.938,0.32935,4.6058,1.9478,0.77192,0.71036,0.81721,0.55065,0.40681,14.864,2.28087,0.000429253,0.000429253,0.000429253
152,439.826,0.32588,4.5136,1.92873,0.59664,0.87654,0.79503,0.52602,0.37606,17.7461,2.21473,0.000421001,0.000421001,0.000421001
153,442.672,0.3319,4.70207,1.92602,0.79581,0.76543,0.8594,0.58034,0.3713,11.414,2.18664,0.000412749,0.000412749,0.000412749
154,445.574,0.33628,4.64514,1.97091,0.82858,0.7758,0.87144,0.62289,0.37147,10.0793,2.13632,0.000404498,0.000404498,0.000404498
155,448.431,0.32761,4.48202,1.94629,0.60684,0.87654,0.79306,0.57001,0.37351,15.9812,2.11795,0.000396246,0.000396246,0.000396246
156,451.296,0.3341,4.61836,1.92288,0.67961,0.8642,0.8143,0.56882,0.39223,16.8606,2.17937,0.000387994,0.000387994,0.000387994
157,454.17,0.32463,4.52197,1.9351,0.77219,0.80247,0.83621,0.60288,0.39453,12.8363,2.24173,0.000379743,0.000379743,0.000379743
158,457.049,0.31898,4.22919,1.917,0.8101,0.73734,0.86754,0.60762,0.38096,11.4113,2.15156,0.000371491,0.000371491,0.000371491
159,459.885,0.32151,4.2765,1.89747,0.68224,0.90123,0.86649,0.61376,0.38693,10.4871,2.16197,0.000363239,0.000363239,0.000363239
160,462.727,0.32335,4.47816,1.90566,0.68571,0.88889,0.85769,0.60857,0.38939,11.4022,2.23886,0.000354988,0.000354988,0.000354988
161,465.608,0.33124,4.4418,1.93406,0.68627,0.8642,0.82866,0.60006,0.38117,14.5509,2.22286,0.000346736,0.000346736,0.000346736
162,468.46,0.31978,4.47016,1.94171,0.68687,0.83951,0.80864,0.57412,0.3946,17.4282,2.30299,0.000338484,0.000338484,0.000338484
163,471.322,0.3281,4.38606,1.91031,0.6422,0.8642,0.82714,0.56849,0.39331,13.8234,2.28842,0.000330233,0.000330233,0.000330233
164,474.189,0.33219,4.51988,1.93386,0.84051,0.71568,0.85356,0.5889,0.3727,10.7651,2.26177,0.000321981,0.000321981,0.000321981
165,477.058,0.32748,4.19144,1.95155,0.75188,0.74828,0.83454,0.58494,0.37186,12.1258,2.2335,0.000313729,0.000313729,0.000313729
166,479.901,0.31422,4.31252,1.9412,0.584,0.90123,0.79997,0.54881,0.37723,15.2725,2.25015,0.000305478,0.000305478,0.000305478
